dataset,split,context,cost,seed,dimensions,final_test_acc,final_test_loss,avg_message_length,final_message_length,result_path
flat,specific,shared,length_cost,2,"D(3,8)",0.5002538561820984,0.6966565847396851,1.0,1.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=2"
flat,specific,shared,length_cost,2,"D(4,4)",0.49916499853134155,0.6963469386100769,1.0,1.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=2"
flat,specific,shared,length_cost,3,"D(3,4)",0.9709814786911011,0.13640090823173523,3.11515625,3.44921875,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=3"
flat,specific,shared,length_cost,3,"D(3,8)",0.49768880009651184,0.6965804696083069,1.0,1.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=3"
flat,specific,shared,length_cost,3,"D(4,4)",0.5005029439926147,0.6962364315986633,1.0,1.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=3"
flat,specific,shared,length_cost,4,"D(3,4)",0.5008333921432495,0.6967623829841614,1.0,1.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=4"
flat,specific,shared,length_cost,4,"D(3,8)",0.5001399517059326,0.6966667175292969,1.0,1.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=4"
flat,specific,shared,length_cost,4,"D(4,4)",0.9967732429504395,0.03002309240400791,2.349486014842987,2.4152960777282715,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=4"
flat,specific,shared,no_cost,0,"D(3,4)",0.9754688143730164,0.0775047317147255,3.833125,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=0"
flat,specific,shared,no_cost,0,"D(3,8)",0.9726368188858032,0.1464722454547882,3.983699598312378,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=0"
flat,specific,shared,no_cost,0,"D(4,4)",0.9993896484375,0.0029167598113417625,5.0,5.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=0"
flat,specific,shared,no_cost,1,"D(3,4)",0.991848886013031,0.049632202833890915,3.92140625,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=1"
flat,specific,shared,no_cost,1,"D(3,8)",0.9804655909538269,0.09590024501085281,3.9814314532279966,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=1"
flat,specific,shared,no_cost,1,"D(4,4)",0.9988573789596558,0.005269845016300678,5.0,5.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=1"
flat,specific,shared,no_cost,2,"D(3,4)",0.9864323139190674,0.0452844500541687,3.8787109375,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=2"
flat,specific,shared,no_cost,2,"D(3,8)",0.9836165904998779,0.08372671902179718,3.9817036294937136,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=2"
flat,specific,shared,no_cost,2,"D(4,4)",0.999448299407959,0.0035017174668610096,4.996862664222717,5.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=2"
flat,specific,shared,no_cost,3,"D(3,4)",0.9752343893051147,0.13318131864070892,3.9668359375,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=3"
flat,specific,shared,no_cost,3,"D(3,8)",0.974215567111969,0.13363441824913025,3.9539516139030457,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=3"
flat,specific,shared,no_cost,3,"D(4,4)",0.9956444501876831,0.025233140215277672,4.999420228004456,5.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=3"
flat,specific,shared,no_cost,4,"D(3,4)",0.9849740266799927,0.0413702130317688,3.9352734375,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=4"
flat,specific,shared,no_cost,4,"D(3,8)",0.9816015362739563,0.08814308047294617,3.990655243396759,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=4"
flat,specific,shared,no_cost,4,"D(4,4)",0.9980858564376831,0.012540656141936779,4.984107732772827,5.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=specific/context=shared/cost=no_cost/seed=4"
